RANK, LAST NAME, FIRST NAME, GENDER
964, BRYAN, ELSA, female
965, BYERS, KAREN, female
965, PARK, RENA, female
966, BAKER, ERNA, female
966, BANKS, RAE, female
967, RAY, ALANA, female
967, SEARS, LEE, male
968, SPARKS, RENA, female
970, BARR, KAY, female
970, KANE, PEARL, female
970, SEARS, KYLE, male
971, PARKS, LEA, female
972, AYERS, RENE, male
973, LARA, RENE, male
974, BARNES, LES, male
976, SEARS, RAY, male
976, SPEARS, LENA, female
977, KEY, ANA, female
978, SALAS, ANA, female
979, PERRY, LES, male
979, SALAS, RENEE, female
980, KERR, LENA, female
980, PARKS, RENE, female
981, BARKER, LEA, female
982, SPEARS, KEN, male
983, BERRY, SELENA, female
984, RAY, EARLENE, female
985, BEAN, KAY, female
988, LE, KAREN, female
988, RAY, SELENA, female
989, BAKER, SAL, male
989, SPEARS, KAY, female
992, PARK, REBA, female
993, PENA, LARA, female
995, REYES, ABE, male
995, SPARKS, REBA, female
996, LEE, REYNA, female
999, PARKER, SAL, male
1000, BEAN, PERRY, male
1000, BRAY, ANA, female
1001, BRAY, RENEE, female
1001, PARKS, LARA, female
1007, LEE, PANSY, female
1008, KEY, BEN, male
1009, BAKER, REYNA, female
1009, SALAS, BEN, male
1011, PARKS, BARNEY, male
1012, SPEARS, RENE, male
1014, AYERS, NEAL, male
1014, BAKER, REYES, male
1017, AYALA, RENA, female
1018, AYERS, LEE, female
1019, AYERS, BLAKE, male
1019, LANE, KAYE, female
1019, PAYNE, EARLE, male
1020, BAKER, PANSY, female
1020, KEY, PEARL, female
1020, PAYNE, ABE, male
1020, SYKES, ANA, female
1021, KEY, ARLENE, female
1022, NEAL, RAE, female
1024, LE, RYAN, male
1025, SEARS, ANA, female
1026, PARKER, ALBA, female
1026, RAY, EARLE, male
1027, RAY, ABE, male
1029, LANE, KASEY, female
1030, BARRY, LENA, female
1031, BAKER, LESA, female
1031, BARNES, SAL, male
1031, PARKER, ELBA, female
1033, KANE, PERRY, male
1035, BARR, NEAL, male
1035, PARKS, LANE, male
1036, BARR, KAYLA, female
1036, BARRY, KEN, male
1036, BYERS, SARA, female
1036, LANE, ABE, male
1036, PERRY, SAL, male
1036, REYES, LES, male
1039, BARR, LEE, female
1041, PARKER, LESA, female
1043, BRAY, PEARL, female
1043, BYERS, ALAN, male
1044, AYALA, REBA, female
1044, BRAY, ARLENE, female
1045, BARKER, LANE, male
1046, BYERS, SEAN, male
1047, AYERS, KARLA, female
1047, BRAY, KARL, male
1049, PENA, RAE, female
1050, BYERS, EARL, male
1051, BEAN, KAYLA, female
1051, SYKES, BEN, male
1054, BEAN, LEE, female
1054, SPEARS, NEAL, male
1055, KEY, LENA, female
1055, SPEARS, KAYLA, female
1056, BARNES, REYES, male
1056, RYAN, EARLE, male
1056, SEARS, BEN, male
1057, PARKS, RAE, female
1057, RYAN, ABE, male
1058, AYERS, KARA, female
1058, KERR, NEAL, male
1058, SPEARS, LEE, female
1059, BEAN, KERRY, male
1059, LARA, KARA, female
1059, LE, SARA, female
1059, SPEARS, BLAKE, male
1060, LANE, PARKER, male
1061, PAYNE, LES, male
1062, KERR, LEE, female
1062, SALAS, KEN, male
1063, BERRY, LES, male
1063, PERRY, ALBA, female
1063, SYKES, PEARL, female
1064, SYKES, ARLENE, female
1067, REESE, LARA, female
1068, BANKS, EARLE, male
1068, PARKS, SERENA, female
1068, PERRY, ELBA, female
1068, RAY, LES, male
1068, SEARS, PEARL, female
1069, LE, SEAN, male
1069, SALAS, KAY, female
1069, SEARS, ARLENE, female
1070, BAKER, RENAE, female
1070, REYES, ERNA, female
1072, SEARS, KARL, male
1073, BARNES, LESA, female
1075, BYERS, LEE, male
1076, BEASLEY, RENA, female
1077, BLAKE, RENE, female
1077, LE, BRYAN, male
1078, BRAY, LENA, female
1078, PERRY, LESA, female
1083, BEAN, KARLA, female
1084, BRAY, KEN, male
1084, SALAS, PERRY, male
1087, KANE, LEE, female
1087, SPEARS, KARLA, female
1089, AYERS, ELENA, female
1091, KEY, RENE, male
1092, SALAS, RENE, male
1093, REYES, SAL, male
1094, BEAN, KARA, female
1098, RYAN, LES, male
1098, SPEARS, KARA, female
1098, SYKES, LENA, female
1099, LAKE, RYAN, male
1100, PARKS, ALANA, female
1101, LARSEN, REBA, female
1102, RAY, ERNA, female
1103, SEARS, LENA, female
1107, LE, RAY, male
1108, BARRY, NEAL, male
1108, NEAL, KAYE, female
1109, SEARS, KEN, male
1110, BANKS, LES, male
1110, BARKER, ALANA, female
1110, BARR, ELENA, female
1111, LANE, BERRY, male
1112, AYERS, AL, male
1112, BAKER, ARLEEN, female
1112, BARRY, LEE, female
1114, BRAY, RENE, male
1115, LE, BARRY, male
1116, SEARS, KAY, female
1117, PARKS, EARLENE, female
1118, NEAL, KASEY, female
1118, PAYNE, SAL, male
1120, BERRY, SAL, male
1120, REYES, ALBA, female
1121, BASS, LEA, female
1121, PARKS, SELENA, female
1125, NEAL, ABE, male
1125, RAY, SAL, male
1125, REYES, ELBA, female
1126, PARK, LEA, female
1129, SPARKS, LEA, female
1129, SPEARS, ELENA, female
1130, BASS, RENE, female
1131, BARKER, SELENA, female
1133, BARR, AL, male
1133, BYERS, ANA, female
1133, KERR, ELENA, female
1133, KEY, NEAL, male
1134, AKERS, RYAN, male
1134, LAKE, SARA, female
1134, LEE, BESS, female
1134, SYKES, RENE, male
1135, PARK, RENE, female
1135, PENA, KAYE, female
1135, REYES, LESA, female
1137, KEY, LEE, female
1138, REYNA, SARA, female
1138, SPARKS, RENE, female
1139, SEARS, RENE, male
1141, BAKER, LEN, male
1143, SALAS, KERRY, male
1144, LAKE, SEAN, male
1145, PAYNE, ALBA, female
1145, PENA, KASEY, female
1146, BARR, ALYSSA, female
1147, AYERS, LANA, female
1148, BEAN, AL, male
1149, NEAL, PARKER, male
1150, PAYNE, ELBA, female
1151, BASS, LARA, female
1151, PARKER, LEN, male
1151, PENA, EARLE, male
1152, BRYAN, LEA, female
1152, LAKE, BRYAN, male
1152, PENA, ABE, male
1152, RAY, ALBA, female
1152, REYNA, EARL, male
1152, SPEARS, AL, male
1154, AYERS, ELSA, female
1154, BLAKE, RAE, female
1155, RYAN, SAL, male
1156, BRAY, NEAL, male
1156, KERR, AL, male
1156, LE, ANA, female
1156, PARK, LARA, female
1157, LEE, ASA, male
1157, PARKER, BESS, female
1157, RAY, ELBA, female
1159, LANE, REYES, male
1159, PARKS, EARLE, male
1159, SPARKS, LARA, female
1160, BRAY, LEE, female
1160, PARKS, ABE, male
1160, PAYNE, LESA, female
1161, BEAN, ALYSSA, female
1162, AYERS, ABEL, male
1162, BERRY, LESA, female
1165, BEAN, KERRY, female
1165, BLAKE, SERENA, female
1166, PARK, BARNEY, male
1166, REESE, ALANA, female
1167, BANKS, SAL, male
1167, RAY, LESA, female
1168, BARR, LANA, female
1169, AKERS, SARA, female
1169, KERR, ALYSSA, female
1169, SPARKS, BARNEY, male
1170, BAKER, ASA, male
1171, BAKER, ARLEN, male
1175, BARR, ELSA, female
1176, AKERS, ALAN, male
1176, BYERS, PEARL, female
1176, SYKES, NEAL, male
1177, BYERS, ARLENE, female
1177, REYNA, LEE, male
1178, SALAS, KARA, female
1179, AKERS, SEAN, male
1180, BYERS, KARL, male
1180, PARKER, ASA, male
1180, SYKES, LEE, female
1181, AYERS, RENA, female
1181, KANE, AL, male
1181, SEARS, NEAL, male
1182, BRYAN, LARA, female
1182, LAKE, RAY, male
1182, LARA, RENA, female
1182, RYAN, ALBA, female
1182, SEARS, KAYLA, female
1183, AKERS, EARL, male
1183, BARRY, ELENA, female
1185, BASS, LANE, male
1185, SEARS, LEE, female
1186, SEARS, BLAKE, male
1187, AKERS, BRYAN, male
1187, AYALA, RENE, female
1187, LE, BEN, male
1187, RYAN, ELBA, female
1187, SPEARS, LANA, female
1188, PERRY, LEN, male
1189, BRAY, KARLA, female
1190, BEAN, ELSA, female
1190, LAKE, BARRY, male
1190, PARK, LANE, male
1191, KERR, LANA, female
1192, BANKS, REYES, male
1192, LEE, REY, male
1193, PENA, LES, male
1193, SPARKS, LANE, male
1194, KANE, ALYSSA, female
1194, PERRY, BESS, female
1197, BAKER, ALENE, female
1197, RYAN, LESA, female
1198, KERR, ELSA, female
1200, BRAY, KARA, female
1200, NEAL, BERRY, male
1201, LEE, KASEY, male
1201, PARKS, LES, male
1202, SPEARS, ABEL, male
1205, BAKER, REY, male
1206, BARRY, AL, male
1206, KERR, ABEL, male
1206, RAY, RENAE, female
1207, BAKER, LYN, female
1207, BASS, RAE, female
1207, PARKER, ALENE, female
1208, AKERS, LEE, male
1208, AYERS, REBA, female
1208, KEY, ELENA, female
1209, BANKS, LESA, female
1209, LARA, REBA, female
1211, BARKER, LES, male
1211, BYERS, LENA, female
1212, BARNES, ASA, male
1212, PARK, RAE, female
1214, SEARS, KARLA, female
1215, SPARKS, RAE, female
1217, AKERS, RAY, male
1217, BYERS, KEN, male
1217, PARKER, LYN, female
1217, PERRY, ASA, male
1221, SPEARS, RENA, female
1223, KANE, ELSA, female
1223, PARK, SERENA, female
1225, SEARS, KARA, female
1227, PENA, BERRY, male
1231, BRAY, ELENA, female
1231, KANE, ABEL, male
1231, KEY, AL, male
1231, LAKE, ANA, female
1235, PARKS, ERNA, female
1238, BRYAN, RAE, female
1240, LE, KEN, male
1241, BARRY, LANA, female
1244, PERRY, ALENE, female
1245, REYES, LEN, male
1246, PENA, BERYL, female
